brand,name,size(g),price,unit_price,rating
Pringles,Sour Cream & Onion Flavour Potato Chips,156,1.88,1.205128205,6
Miss Vickies,"Kettle Cooked Potato Chips, Sea Salt & Malt Vinegar",220,3.97,1.804545455,9
Kettle,"Kettle Chips, New York Cheddar",220,2.48,1.127272727,7
Que Pasa,Organic Carnival Tortilla Chips,300,3.98,1.326666667,5
Lay's,"Potato Chips, Sour Cream & Onion",255,2.47,0.968627451,7
Miss Vickies,"Kettle Cooked Potato Chips, Balsamic Vinegar & Sweet Onion",220,3.97,1.804545455,7
Bugles,"Corn Chips, Ranch",213,1.97,0.924882629,6
Doritos,"Tortilla Chips, Sweet Chilli Heat",400,4.58,1.145,9
,"Krinkle Cut Sweet Potato Chips, Sea Salt",165,3.98,2.412121212,6
Popchips,"Ridges Potato Chips, Cheddar Sour Cream",85,3.28,3.858823529,5
Miss Vickies,"Kettle Cooked Potato Chips, Original Recipe",300,4.58,1.526666667,7
Doritos,"Tortilla Chips, Nacho Cheese",255,3.18,1.247058824,8
Lay's,Wavy Original Chips,255,2.47,0.968627451,7
Pringles,Jalapeno Flavour Potato Chips,156,1.88,1.205128205,5
Tostitos,"Tortilla Chips, Restaurant style",480,4.58,0.954166667,5
Old Dutch,"Potato Chips, Salt & Vinegar",255,3.48,1.364705882,7
Lay's,"Wavy Chips, Sour Cream & Cheese",240,2.47,1.029166667,6
,Kropek Crackers Shrimp Flavoured 70 g,70,1.18,1.685714286,5
Doritos,"Tortilla Chips, Zesty Cheese",255,3.18,1.247058824,7
Lay's,"Potato Chips, Salt & Vinegar",255,2.47,0.968627451,8
Kettle,"Krinkle Cut Potato Chips, Sea Salt & Vinegar",397,4.98,1.25440806,8
Doritos,"Corn Chips, Sonic Sour",250,3.18,1.272,6
Fresh Is Best Salsa & Co,Fresh is Best Salsa & Co. Tri-Flavour Corn Tortilla Chips,325,4.98,1.532307692,6
Kettle,"Krinkle Cut Potato Chips, Salted",397,4.98,1.25440806,6
Terra,Exotic Vegetable Chips Plantains Sea Salt,141,3.98,2.822695035,5
Kettle,"Krinkle Cut Potato Chips, Dill Pickle",220,2.48,1.127272727,6
Old Dutch,Rip-L Chips,600,6.28,1.046666667,5
Orville,Gourmet Popcorn Simply Salted,492,4.49,0.912601626,5
Tostitos,"Tortilla Chips, Scoops!",215,2.97,1.381395349,6
Lay's,"Potato Chips, Classic",450,4.58,1.017777778,7
Lay's,"Potato Chips, Classic",475,4.98,1.048421053,5
Doritos,"Tortilla Chips, Spicy Nacho",255,3.28,1.28627451,8
Lay's,"Potato Chips, Dill Pickle",255,2.47,0.968627451,7
Doritos,"Tortilla Chips, Zesty Cheese",80,1.69,2.1125,6
,Takis Fuego Chips,280,3.68,1.314285714,10
Old Dutch,Chips,960,12.98,1.352083333,5
Miss Vickies,"Kettle Cooked Potato Chips, Jalapeño",220,3.97,1.804545455,5
Bugles,"Corn Snacks, Original",213,1.97,0.924882629,6
Kettle,"Potato Chips, Sea Salt",220,2.48,1.127272727,6
Doritos,"Tortilla Chips, Nacho Cheese",400,4.58,1.145,5
Lay's,"Potato Chips, Ketchup",255,2.47,0.968627451,10
Lay's,"Wavy Potato Chips, Ketchup",255,3.18,1.247058824,9
Lay's,"Potato Chips, Classic",66,1.69,2.560606061,5
Doritos,"Tortilla Chips, Sweet Chili Heat!",255,3.18,1.247058824,9
Sunchips,"Multigrain Snacks, Harvest Cheddar",225,3.67,1.631111111,6
Munchies,"Snacks, Snack Mix Original",1100,7.28,0.661818182,6
Lay's,"Potato Chips, Classic",255,2.47,0.968627451,6
Miss Vickies,"Kettle Cooked Potato Chips, Original Recipe",220,3.97,1.804545455,6
